"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"078011","Amendolara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2671,,
"003002","Ameno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",851,,
"062002","Amorosi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2640,,
"030003","Ampezzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",891,,
"063004","Anacapri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6821,,
"060006","Anagni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",20627,,
"067002","Ancarano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1871,,
"079005","Andali","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",614,,
"022005","Andalo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1189,,
"014003","Andalo Valtellino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",590,,
"001009","Andezeno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2001,,
"009006","Andora","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7262,,
"096002","Andorno Micca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3006,,
"075005","Andrano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4501,,
"001010","Andrate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",467,,
"093001","Andreis","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",245,,
"064003","Andretta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1666,,
"021002","Andriano/Andrian","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1053,,
"017005","Anfo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",438,,
"012003","Angera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5361,,
"051001","Anghiari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5399,,
"023003","Angiari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2513,,
"065007","Angri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",34095,,
"058005","Anguillara Sabazia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",19062,,
"071003","Anzano di Puglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1069,,
"076004","Anzi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1504,,
"058007","Anzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",59633,,
"037001","Anzola dell'Emilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",12347,,
